interest_rate,fico_range,amount_requested,amount_funded_by_investors,loan_length
7.9,705-709,4800,4800,36
10.99,705-709,8000,8000,36
16.29,670-674,9750,9750,36
12.69,705-709,4000,4000,36
10.99,695-699,3000,3000,36
15.8,690-694,16000,16000,36
9.63,750-754,12000,11725,36
11.78,690-694,7500,5795.24,36
7.9,725-729,9600,9600,36
22.95,670-674,23850,23850,60
14.09,680-684,6250,6250,36
7.88,745-749,16750,16359.69,36
12.69,730-734,4000,4000,36
19.22,670-674,23500,23500,36
12.87,705-709,3600,3575,36
7.29,725-729,1900,1900,36
7.9,755-759,22500,22500,36
8.49,780-784,12000,12000,60
12.69,730-734,15000,15000,60
17.27,705-709,32000,32000,36
24.2,665-669,24000,24000,60
15.8,670-674,5500,5500,36
7.88,735-739,7300,7300,36
13.11,740-744,25000,24975,60
11.14,690-694,4575,4575,36
14.96,685-689,10000,10000,36
15.96,705-709,20000,19950,60
11.14,715-719,11100,11100,36
10.74,760-764,17000,17000,60
13.67,675-679,12000,11975,36
12.12,715-719,24000,24000,36
17.77,690-694,7000,7000,36
12.12,695-699,10000,10000,36
6.62,745-749,14000,14000,36
7.62,745-749,3250,3225,36
11.14,715-719,18000,18000,36
21,660-664,19500,19500,36
6.03,785-789,5000,5000,36
17.58,700-704,20000,20000,60
13.49,680-684,6000,6000,36
14.09,695-699,14300,14300,36
12.12,690-694,12800,12800,36
7.9,720-724,3000,2975,36
13.11,705-709,25000,25000,36
12.12,700-704,18000,18000,36
15.31,665-669,9750,9750,36
12.42,695-699,5000,5000,36
13.11,685-689,4000,4000,36
7.9,710-714,1200,1200,36
17.27,660-664,12000,12000,36
16.29,665-669,5000,5000,36
7.9,780-784,21700,21700,36
16.29,715-719,21850,21850,60
11.36,705-709,12000,12000,36
18.49,675-679,7000,7000,36
23.76,700-704,32000,32000,60
14.27,720-724,13000,13000,60
12.42,680-684,12000,12000,36
19.03,680-684,25475,25375,60
11.14,700-704,10000,10000,36
12.12,695-699,5000,5000,36
7.51,760-764,10000,9725,36
14.33,675-679,4000,4000,36
10.38,720-724,8000,8000,36
10.65,735-739,35000,35000,36
11.03,685-689,9000,7650,36
6.03,775-779,9000,9000,36
17.27,675-679,24000,24000,60
13.11,750-754,18000,18000,60
13.8,695-699,4000,4000,60
6.62,755-759,15000,15000,36
17.27,660-664,6075,6075,36
17.49,710-714,13800,13800,60
18.64,700-704,10000,10000,60
10.99,735-739,8000,7725,36
17.27,670-674,15000,15000,36
6.62,815-819,4800,4800,36
12.23,730-734,24250,17431.82,60
6.91,715-719,7000,6975,36
12.12,700-704,10500,10500,36
21.49,690-694,25000,24950,60
14.33,715-719,21000,21000,60
14.26,685-689,14400,14400,36
10.74,720-724,9600,9600,36
8.88,795-799,12000,12000,60
11.86,705-709,10000,10000,36
14.65,665-669,4000,4000,36
21.49,665-669,20000,20000,36
22.95,665-669,31300,31300,60
7.9,710-714,6900,6900,36
17.88,690-694,30000,17982.94,60
12.42,675-679,2000,2000,36
7.9,725-729,12000,12000,36
10.37,690-694,3300,3300,36
14.33,695-699,25000,25000,36
10.38,720-724,6000,5950,36
21,690-694,3250,3250,36
12.23,715-719,16500,16175,60
21,705-709,31000,31000,60
14.33,750-754,4000,4000,36
17.49,665-669,6000,6000,36
6.62,710-714,7500,7500,36
8.49,745-749,12000,11975,36
18.49,685-689,20000,20000,36
22.47,675-679,24000,24000,60
19.99,660-664,7500,7500,36
17.54,655-659,6250,900,36
6.92,755-759,5000,4900,36
10.74,710-714,10000,10000,36
6.91,710-714,12000,11341.5,36
9.32,745-749,7000,6775,36
7.49,755-759,4000,4000,36
13.11,680-684,7800,7800,36
15.27,680-684,15000,15000,36
18.49,670-674,14125,14125,36
5.42,780-784,8000,8000,36
7.49,715-719,4325,4325,36
13.49,705-709,15000,15000,36
10.16,710-714,12000,12000,36
8.9,710-714,6575,6575,36
10.16,710-714,9000,9000,36
8.88,710-714,4500,4500,36
10.25,750-754,20000,19875,36
13.11,680-684,1950,1950,36
16.29,705-709,35000,35000,36
14.09,675-679,8000,8000,36
10.59,740-744,15000,15000,36
7.66,700-704,5650,5650,36
15.8,680-684,6800,6800,36
19.05,660-664,3000,3000,36
11.14,705-709,5675,5675,36
17.93,670-674,12000,12000,60
15.31,680-684,11100,11100,36
19.05,690-694,16000,16000,60
10.59,710-714,4800,4800,36
15.31,665-669,6200,6200,36
10.16,710-714,6000,6000,36
10.36,680-684,2250,2250,36
13.61,715-719,24000,14860.05,60
12.12,695-699,10000,10000,36
14.09,670-674,10000,10000,36
13.11,665-669,12000,12000,36
13.11,690-694,12000,12000,36
12.21,750-754,20800,13796.59,36
12.69,695-699,8000,8000,36
10.16,705-709,10000,10000,36
14.27,675-679,6000,6000,36
12.12,675-679,4500,4500,36
7.49,740-744,3600,3600,36
15.8,675-679,11200,11200,36
11.49,695-699,4000,3925,36
13.49,690-694,6000,6000,60
13.11,720-724,17000,17000,36
13.11,665-669,8000,8000,36
7.4,805-809,2800,2800,36
6.03,790-794,12375,12375,36
17.27,690-694,18825,18825,60
11.14,715-719,9600,9600,36
13.11,680-684,14400,14400,36
17.56,660-664,6000,6000,60
6.03,770-774,9000,9000,36
11.86,735-739,20000,19850,60
13.06,685-689,15000,15000,36
11.14,735-739,20000,20000,60
19.69,665-669,13750,13750,60
17.19,675-679,6000,6000,60
7.9,735-739,20000,20000,36
11.49,720-724,12800,12800,60
6.03,780-784,6000,6000,36
7.51,735-739,12000,12000,36
13.11,690-694,12500,12500,36
17.58,665-669,5000,5000,36
14.33,675-679,4950,4950,36
13.11,755-759,30000,30000,60
12.12,670-674,10000,10000,36
14.65,670-674,6000,6000,36
7.9,750-754,24000,24000,36
10,745-749,14000,14000,60
7.49,715-719,6000,6000,36
13.11,690-694,22400,22400,36
7.9,795-799,8000,8000,36
20.49,665-669,24575,24550,36
14.83,675-679,8000,8000,60
14.33,670-674,10000,10000,36
10.65,745-749,29000,27884.92,60
6.03,805-809,5400,5400,36
6.62,735-739,12375,12375,36
16.29,720-724,30000,30000,60
6.03,770-774,5000,5000,36
18.64,670-674,6200,6200,60
7.49,750-754,7000,7000,36
21,695-699,29175,29175,60
17.49,725-729,35000,33645.15,60
16.89,680-684,6000,6000,60
12.42,730-734,35000,35000,60
13.79,680-684,16400,12136.46,36
13.49,775-779,8450,8450,60
17.99,665-669,18000,18000,36
13.49,675-679,12375,12325,36
5.42,795-799,10000,10000,36
14.09,680-684,2000,2000,36
21.98,665-669,12000,12000,60
7.62,740-744,5000,5000,36
6.03,785-789,12000,12000,36
13.99,665-669,6000,6000,36
9.99,800-804,13000,12975,60
17.27,755-759,4750,4700,36
18.49,665-669,10000,9925,36
15.31,675-679,1000,1000,36
16.29,670-674,9600,9600,36
14.09,665-669,3625,3625,36
13.11,685-689,10000,10000,36
12.42,745-749,19425,19400,60
13.67,695-699,8400,8400,36
13.99,680-684,10000,10000,36
13.23,685-689,6000,6000,36
14.33,670-674,10000,10000,36
12.12,675-679,6000,6000,36
15.31,675-679,16000,16000,60
17.27,660-664,22000,21925,36
21.27,670-674,25000,24950,36
19.72,665-669,13200,13200,36
9.99,765-769,24000,14450,60
15.05,660-664,12250,2200,36
11.14,705-709,21000,21000,60
14.33,685-689,9000,9000,36
11.14,690-694,5000,5000,36
8.9,775-779,35000,34975,36
21.98,670-674,20000,20000,60
7.9,705-709,12000,11975,36
13.49,680-684,10000,10000,36
13.11,685-689,10750,10725,36
14.83,680-684,4000,3975,36
13.11,705-709,10450,10450,36
8.9,725-729,3000,2950,36
12.12,695-699,11000,11000,36
13.11,690-694,7500,7500,36
11.12,710-714,7350,7325,36
10.74,720-724,10000,10000,36
17.27,665-669,8000,8000,36
23.83,660-664,33600,33600,60
15.27,700-704,12000,12000,60
17.49,670-674,5000,5000,60
11.14,715-719,10000,10000,36
10.16,700-704,2075,2075,36
16.82,665-669,16000,15825,36
12.12,695-699,6000,6000,36
13.99,680-684,8600,8600,36
7.9,815-819,16800,16800,60
7.51,755-759,7200,7200,36
13.11,700-704,9000,9000,36
12.87,715-719,10000,9767.84,36
14.09,675-679,11350,11350,36
17.27,685-689,6000,6000,60
12.12,680-684,4000,4000,36
10.74,690-694,6400,6400,36
18.25,660-664,3000,3000,36
5.79,750-754,1125,1125,36
13.11,795-799,28000,27950,60
8.9,685-689,6000,6000,36
6.03,795-799,5000,5000,36
20.3,665-669,20000,19975,60
7.49,730-734,9200,9200,36
13.11,740-744,35000,35000,60
20.49,675-679,18000,18000,60
7.49,720-724,8250,8250,36
7.49,710-714,1200,1200,36
9.63,705-709,10000,10000,36
17.27,700-704,35000,35000,60
15.31,690-694,18000,18000,36
18.39,705-709,20000,19975,60
11.14,690-694,5500,5500,36
22.47,660-664,35000,35000,60
21.98,695-699,35000,35000,60
21.49,675-679,20950,20875,60
9.63,695-699,1500,1500,36
19.99,660-664,12000,12000,36
14.33,690-694,10000,9975,36
18.49,660-664,9750,9750,36
7.49,740-744,5600,5575,36
13.11,720-724,11200,11200,60
13.43,670-674,4000,3975,36
8.9,700-704,7000,7000,36
6.03,735-739,18000,18000,36
12.61,695-699,5000,5000,36
9.25,705-709,10000,9975,36
19.69,665-669,9800,9800,60
12.12,685-689,20000,19975,36
18.29,640-644,5100,4950,36
11.14,700-704,8875,8875,36
5.99,765-769,4400,4400,36
11.71,745-749,35000,23350,60
18.49,660-664,3000,3000,36
12.42,690-694,4800,4800,36
11.71,720-724,5375,5375,36
11.99,705-709,14000,14000,60
13.23,730-734,19800,19775,36
13.11,675-679,13025,13025,36
18.49,675-679,18000,18000,36
7.68,785-789,2500,2275.77,36
7.14,755-759,5000,4985.44,36
11.14,685-689,4500,4500,36
8.9,740-744,15000,15000,36
20.49,715-719,35000,35000,60
8.49,795-799,4500,4500,36
17.27,675-679,4500,4500,36
7.51,740-744,1450,1450,36
14.96,760-764,6000,6000,36
6.54,725-729,4500,4500,36
6.62,750-754,14000,14000,36
6.03,800-804,15000,15000,36
10.99,760-764,22000,14550,60
11.03,695-699,10000,1300,36
20.49,700-704,35000,35000,36
20.49,685-689,10000,10000,36
13.98,695-699,6000,6000,60
15.8,675-679,10000,10000,36
8.94,785-789,10000,9950,36
13.3,660-664,12000,3639.28,36
14.65,675-679,9600,9600,36
22.11,660-664,17800,17775,60
7.62,765-769,2000,2000,36
21,680-684,18825,18825,60
13.06,705-709,3000,2509.17,36
13.11,670-674,2000,2000,36
17.77,670-674,9000,9000,36
13.11,705-709,5750,5750,36
19.22,675-679,21725,21725,60
7.9,725-729,20000,20000,36
13.49,730-734,15350,15325,60
14.33,670-674,8400,8400,36
7.49,720-724,4500,4500,36
15.31,675-679,9950,9950,36
7.9,725-729,15000,15000,36
10.99,705-709,10000,9850,36
18.25,660-664,12000,10400,60
12.21,695-699,8000,3862.32,36
6.03,765-769,3000,3000,36
14.33,680-684,15000,15000,36
17.77,685-689,12700,12700,36
11.11,765-769,16000,15745.73,60
7.9,710-714,7200,7200,36
20.25,695-699,30000,30000,60
14.65,695-699,20125,20125,36
15.27,670-674,12000,12000,36
10.62,745-749,5000,4950,60
11.36,705-709,8000,7989.96,36
6.62,735-739,3600,3600,36
9.63,755-759,8800,8350,36
19.22,690-694,18000,17925,60
23.76,660-664,20000,20000,60
5.99,780-784,4350,4350,36
10.99,735-739,12000,11975,60
13.67,680-684,5400,5400,36
12.68,700-704,12000,11950,60
17.77,665-669,12000,12000,36
7.9,705-709,6700,6700,36
11.71,675-679,3750,3750,36
13.67,685-689,8000,8000,36
11.49,695-699,4500,4500,36
17.14,660-664,6000,5975,60
23.28,660-664,19400,19400,60
17.93,690-694,25000,15600,60
14.27,695-699,8800,8800,36
13.99,680-684,4800,4800,36
17.77,660-664,5175,5175,36
10.75,795-799,10000,9999.36,60
11.14,720-724,12000,12000,36
7.51,750-754,5000,5000,36
17.27,730-734,33600,33600,60
13.11,700-704,10000,10000,36
16.29,695-699,12000,11975,36
14.33,665-669,4000,4000,36
15.8,690-694,20000,20000,36
14.09,675-679,12000,12000,36
21,685-689,17500,17500,60
11.71,690-694,10000,10000,36
14.22,665-669,3000,3000,36
8.59,735-739,5600,5592.37,36
15.8,670-674,10000,10000,36
8.49,720-724,5000,5000,36
21.49,670-674,16000,16000,60
10.75,710-714,4800,4800,36
18.75,710-714,24925,24925,60
12.12,680-684,4825,4825,36
18.25,675-679,18750,18750,60
15.31,675-679,5000,5000,36
13.17,675-679,7500,224.99,36
16.82,680-684,10000,10000,60
7.9,760-764,5300,5300,36
9.63,730-734,5000,5000,36
13.23,735-739,25000,15051.09,60
11.89,745-749,9250,9200,36
10.75,775-779,19000,18725,60
6.03,750-754,2000,2000,36
20.49,670-674,7200,7200,60
14.09,695-699,8000,8000,36
11.71,685-689,13000,12875,36
16.29,670-674,8000,8000,36
9.63,760-764,14000,13675,36
12.69,700-704,1400,1400,36
8.9,735-739,9500,9500,36
11.14,705-709,12700,12700,36
9.76,725-729,10000,10000,36
11.89,735-739,6000,5691.36,36
13.99,680-684,5200,5200,36
15.81,675-679,9000,8975,36
14.74,695-699,12000,11854.04,36
9.07,740-744,6600,3800,36
13.99,670-674,10000,10000,36
11.49,695-699,1800,1800,36
18.75,695-699,19000,19000,60
20.49,685-689,24000,24000,60
11.14,700-704,11500,11475,36
13.67,690-694,12100,12100,36
17.99,675-679,12000,12000,60
15.31,675-679,12000,12000,36
19.72,665-669,10000,10000,36
15.31,680-684,8875,8875,36
17.77,660-664,10625,10625,36
14.11,670-674,12000,3725,36
17.27,660-664,10000,10000,36
20.49,660-664,12000,12000,36
11.99,720-724,14000,12225,60
17.58,705-709,16000,15975,60
15.81,670-674,10000,10000,36
16.29,720-724,3625,3625,36
12.12,690-694,8400,8400,36
15.05,665-669,1600,1334.54,36
16.29,665-669,3600,3600,36
17.51,680-684,14000,14000,36
6.03,795-799,15675,15675,36
11.89,725-729,6000,5546.81,36
8.9,695-699,10000,10000,36
7.9,765-769,29000,29000,36
12.42,670-674,4800,4800,36
8.94,740-744,5000,4900,36
12.53,695-699,7000,6894.01,36
16.29,705-709,20000,19975,60
12.12,690-694,9000,9000,36
12.42,715-719,4400,4400,36
11.71,695-699,3000,3000,36
14.33,675-679,6250,6250,36
6.03,770-774,14000,14000,36
14.27,715-719,30000,30000,36
12.42,745-749,19600,19600,60
13.11,670-674,1600,1600,36
13.99,670-674,8000,8000,36
12.92,670-674,2500,2125,36
16.29,695-699,16075,16075,36
14.26,720-724,4900,4888.24,36
11.99,710-714,14400,14400,36
20.49,660-664,7750,7750,36
5.79,750-754,4200,4200,36
12.68,785-789,35000,34950,60
12.12,695-699,12800,12800,36
8.9,720-724,8000,8000,36
18.64,695-699,25000,23477.53,60
8.49,730-734,5000,5000,36
11.49,720-724,4000,4000,36
18.49,665-669,2875,2875,36
16.02,660-664,1800,1800,36
13.49,725-729,7200,7200,36
12.12,680-684,6000,6000,36
7.9,745-749,15000,14975,36
14.33,680-684,10375,10375,36
15.8,700-704,25000,25000,60
8.59,810-814,7900,7782.65,36
15.31,680-684,10000,10000,36
7.68,780-784,6000,4450,36
17.77,675-679,7000,7000,36
14.61,665-669,5500,5473.88,36
14.33,690-694,7000,7000,36
6.62,750-754,12000,11975,36
6.99,780-784,10000,9975,36
14.91,690-694,9800,9800,60
13.11,690-694,15000,15000,36
7.91,725-729,12000,12000,36
13.72,705-709,19000,18975,36
13.49,690-694,10000,10000,36
19.41,660-664,14725,14725,36
14.09,690-694,17500,17475,36
12.53,700-704,10000,10000,36
10.37,705-709,12000,11998.2,36
6.62,805-809,32550,32550,36
12.12,680-684,17475,17450,36
7.9,725-729,7200,7200,36
7.62,805-809,7125,7125,36
14.96,730-734,20500,19861.23,60
19.72,695-699,18000,18000,60
18.25,665-669,15000,15000,36
10.37,785-789,14000,14000,60
12.21,695-699,4800,4750,36
14.33,670-674,8000,8000,36
18.25,725-729,35000,34900,60
7.74,735-739,3600,3600,36
11.49,715-719,20000,19950,36
22.45,660-664,20000,20000,60
14.27,680-684,10000,9950,36
9.91,710-714,10000,10000,36
7.51,765-769,4500,4500,36
7.9,725-729,8000,8000,36
9.76,705-709,7425,7425,36
6.03,725-729,12000,12000,36
15.27,670-674,9000,9000,36
16.29,710-714,28000,28000,36
13.67,710-714,15575,15550,36
12.12,710-714,10500,10500,36
16.83,680-684,8500,6727.42,36
19.72,665-669,3600,3600,36
7.29,740-744,12000,12000,36
11.83,755-759,24250,24144.61,36
12.69,710-714,20000,20000,36
12.12,695-699,14000,14000,36
6.03,775-779,10000,10000,36
12.42,705-709,8000,8000,36
17.51,695-699,20000,15000,60
12.12,675-679,3500,3500,36
20.89,695-699,30000,29975,60
17.77,675-679,12000,12000,36
19.03,660-664,12250,12250,60
7.88,800-804,9000,9000,60
14.09,750-754,31825,31825,60
19.03,680-684,24000,23975,60
8.94,815-819,12800,12787.71,36
13.99,745-749,20000,20000,60
12.69,705-709,15000,15000,36
14.17,690-694,15000,14950,36
13.93,660-664,5000,3150,36
14.09,690-694,14000,14000,36
13.67,705-709,21000,21000,36
6.92,725-729,5000,5000,36
12.12,675-679,5000,5000,36
11.14,710-714,8000,8000,36
22.47,675-679,10000,10000,36
6.99,775-779,7000,7000,36
6.03,790-794,11000,11000,36
20.49,710-714,28000,28000,60
10.99,740-744,24000,21963.64,36
8.9,735-739,15000,15000,36
24.89,660-664,24000,23950,36
15.96,660-664,5000,5000,36
10.59,730-734,10000,10000,36
18.55,660-664,16000,16000,36
14.11,680-684,10000,6301.07,36
18.49,670-674,8000,8000,36
11.71,695-699,10000,10000,36
5.79,760-764,5000,5000,36
22.78,665-669,20000,19975,60
7.88,720-724,3700,3600,36
17.77,670-674,15000,15000,36
14.09,665-669,9700,9700,36
18.49,660-664,8450,8450,36
20.49,690-694,25000,25000,60
13.49,745-749,25000,24950,60
17.77,670-674,15000,15000,36
19.05,660-664,14575,14575,36
21,675-679,14775,14775,60
11.49,700-704,2000,2000,36
10.16,695-699,2575,2575,36
14.33,700-704,4200,4200,60
20.52,675-679,8000,8000,36
14.79,710-714,9500,9500,60
9.88,750-754,16750,16445.93,36
13.11,685-689,12300,12300,36
17.27,665-669,4000,4000,36
18.3,690-694,20000,20000,60
12.68,705-709,12000,12000,60
14.33,675-679,4375,4375,36
14.59,660-664,3000,3000,36
6.62,750-754,13000,13000,36
8.9,725-729,16200,16200,36
8.9,740-744,11400,11375,36
18.49,715-719,25875,25875,60
19.04,680-684,15000,15000,60
22.95,665-669,20950,20950,60
14.79,710-714,14000,12800,60
16,665-669,2000,2000,36
7.9,765-769,25000,25000,36
10.16,780-784,28200,28150,60
18.64,680-684,20000,19925,60
16.29,690-694,24000,24000,36
17.27,710-714,21850,21850,60
13.22,705-709,20000,19850,36
13.85,685-689,16000,15875,36
11.14,720-724,10000,10000,36
14.09,710-714,20000,20000,36
7.9,720-724,1000,1000,36
11.49,690-694,3500,3500,36
7.9,735-739,15000,15000,36
13.67,685-689,19000,19000,36
6.03,755-759,12000,11950,36
22.47,670-674,22750,22750,60
7.29,730-734,9800,9747.5,36
7.29,715-719,3500,3500,36
10.74,755-759,20000,17724.9,60
22.95,665-669,20000,20000,60
7.9,770-774,19000,19000,36
22.45,685-689,17300,17250,60
15.13,650-654,7000,711.54,36
18.75,660-664,7200,7200,36
14.09,675-679,10000,10000,36
14.09,675-679,4000,3925,36
8.9,730-734,17500,17500,36
11.71,725-729,20000,20000,36
15.8,680-684,16200,16200,60
6.03,760-764,10000,10000,36
6.62,810-814,27000,27000,36
7.51,720-724,4500,4475,36
14.33,675-679,15875,15875,36
10.16,690-694,15000,15000,36
10.75,765-769,25000,24950,36
17.27,665-669,7000,7000,36
19.99,660-664,15000,15000,36
15.81,685-689,17000,17000,36
18.75,670-674,19075,19075,36
11.71,710-714,10000,10000,36
7.62,720-724,8475,8475,36
10.08,710-714,6400,6350,36
23.28,675-679,30000,30000,60
14.65,685-689,24000,23975,36
16.77,705-709,30000,29950,60
14.09,740-744,16000,16000,60
13.99,680-684,10000,10000,36
12.42,675-679,6000,6000,36
13.79,670-674,9000,5242.75,36
